Planet Name,Global ESI,Long-term Stability,Atmospheric Retention,Habitability Index,Rank,Habitability_Category
Teegarden's Star b,0.9797287130949528,0.9999998910345408,0.0193148886329474,0.7937273015844281,1.0,Potentially Habitable
TOI-700 d,0.9597545177526966,0.9999990381589464,0.0198750227495693,0.7838519748739461,2.0,Potentially Habitable
Kepler-1649 c,0.9550873297497096,1.0,0.0195281380409582,0.7814492924830465,3.0,Potentially Habitable
TOI-700 e,0.9416371176055864,0.9999988912729464,0.0169976540361447,0.7742177569919062,4.0,Potentially Habitable
Proxima Cen b,0.9261248523037005,0.999999863800188,0.0188062577082227,0.766823636833551,5.0,Potentially Habitable
GJ 1002 b,0.9256446146164364,0.9999999999989728,0.0188950989054085,0.7666013270889919,6.0,Potentially Habitable
Ross 128 b,0.9149159599320568,0.9999991931226948,0.0205756020452307,0.7615728583118829,7.0,Potentially Habitable
Wolf 1069 b,0.9140657965642726,0.9999999999981684,0.0199362745385692,0.7610201531893007,8.0,Potentially Habitable
GJ 1061 c,0.9127260254815978,0.9999985765773346,0.0222651335737462,0.7608156124287485,9.0,Potentially Habitable
K2-72 e,0.9113036186258492,0.9999983648169184,0.0240106923824133,0.7604534572344829,10.0,Potentially Habitable
GJ 273 b,0.9081360515196284,0.9999987224115444,0.0254271141353958,0.7591530653103566,11.0,Potentially Habitable
Kepler-296 e,0.8984145761458053,0.999992178888468,0.0255972171135372,0.7543243851621505,12.0,Potentially Habitable
TRAPPIST-1 d,0.9021289001382112,0.9999999738595228,0.0128904276377321,0.7536425277545089,13.0,Potentially Habitable
Kepler-438 b,0.8972343800076291,0.9999993016113424,0.0209000497727629,0.75279699044177,14.0,Potentially Habitable
Kepler-442 b,0.8903436557163853,0.999997705695093,0.0244807426681469,0.75006728810035,15.0,Potentially Habitable
TRAPPIST-1 e,0.8921986664957939,0.999999979079894,0.0160087940302978,0.7493010857779248,16.0,Potentially Habitable
Kepler-1649 b,0.8820246493435298,1.0,0.0183822110180757,0.74468876687538,17.0,Potentially Habitable
Kepler-452 b,0.8788765944144905,1.0,0.0261001737277636,0.7446583319527981,18.0,Potentially Habitable
Kepler-1512 b,0.8760875892487693,1.0,0.0223443056694539,0.7425126557582754,19.0,Potentially Habitable
Kepler-1652 b,0.8720394833799319,1.0,0.0260055598295425,0.7412208536558744,20.0,Potentially Habitable
GJ 1061 d,0.8641731165340824,0.9999959863687996,0.0219797288995423,0.7364812999575895,21.0,Potentially Habitable
