P_NAME,P_MASS,P_RADIUS,P_DISTANCE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_HABITABLE,P_DENSITY,S_TEMPERATURE,S_MASS,S_RADIUS,S_LUMINOSITY
OGLE-2016-BLG-1227L b,250.0,13.9,3.4,15247385.548385326,3.4,1.3825207544061089e-06,4.2409446,17.985612,1.2939289,3.355206874928716e-108,2.351599323600888e-30,9.65,0,0.093088409,1.9077194252043795e-24,0.1,1.5457460865399666,1.090812706309085e-83
Kepler-276 c,16.6,2.9,0.1994,31.884,0.1994,0.0,2.3925171,5.7241379,1.9738407,20.490365,541.98483,603.66537368,0,0.68063471,5779.0,1.1,1.03,0.81470428
Kepler-829 b,5.1,2.11,0.0678,6.8833756,0.0678,0.0,1.5546902,2.4170616,1.1455268,238.52868,1001.1171,1130.6044,0,0.54290371,5698.0,0.98,0.97,1.0964782
K2-283 b,12.2,3.52,0.0291,1.921036,0.0291,1.2790240054108102e-07,1.8616952,3.4659091,0.98463326,353.35726,1104.4682,1220.1471472000003,0,0.27972536,5060.0,0.89,0.82,0.29922646
Kepler-477 b,4.94,2.07,0.0911,11.119907,0.0911,0.0,1.5448215,2.3864734,1.1528857,51.163853,681.30334,769.42507,0,0.55694962,5240.0,0.87,0.79,0.42461956
TOI-1260 c,13.2,2.76,0.0657,7.493134,0.0657,0.0,2.1869176,4.7826087,1.7328292,29.91364,595.75408,662.59647168,0,0.62783668,4227.0,0.68,0.67,0.12912193
HD 149143 b,422.7139,13.6,0.053007391,4.07182,0.053,0.0167,5.5751147,31.081904,2.2854341,797.0927,1353.4874,1493.0721904000002,0,0.16804663,5856.0,1.2,1.44,2.2387211
HD 99492 b,25.5,5.44,0.12006936,17.0503,0.12,0.034,2.1650635,4.6875,0.86167279,23.274946,559.40675,622.759798,0,0.15839573,4929.0,0.85,0.82,0.33496544
nu Oph c,7838.3235,12.0,5.9223835,3180.6,5.829,0.179,25.557653,653.19362,54.432802,2.3490021,313.45519,353.19688824,0,4.5360668,4887.0,2.61,12.24,78.523563
75 Cet b,787.89662,13.3,1.9202684,696.62,1.912,0.093,7.6967751,59.240347,4.4541615,14.220357,493.87889,550.9412634400001,0,0.33489936,4809.0,1.92,10.38,51.760683
gam Lib b,357.87479,13.7,1.3358832,414.88,1.319,0.16,5.1109928,26.122247,1.9067334,45.934794,659.97527,732.98289592,0,0.13917762,4879.0,1.78,12.38,78.886012
HD 113337 c,6299.6769,12.1,6.8965136,5429.9348,6.805,0.164,22.817416,520.63445,43.027641,0.091256564,139.29974,162.32251504000004,0,3.5560034,6667.33,1.41,1.53,4.1686938
HD 28109 c,7.943,4.23,0.3102287,56.00819,0.308,0.1203,1.3703203,1.8777778,0.4439191,30.34339,596.25222,663.14243312,0,0.10494541,6120.0,1.26,1.45,2.8575905
TOI-238 b,3.4,1.402,0.021523116,1.2730991,0.02118,0.18,1.5572755,2.425107,1.7297482,766.12592,1331.9858,1504.2687,0,1.2337719,5059.0,0.79,0.73,0.33806484
TOI-4562 b,732.0,12.53,0.9897984,225.11781,0.768,0.76,7.6432841,58.419792,4.6623937,4.6710617,321.83958,362.38617968,0,0.37209846,6096.0,1.19,1.15,1.7906059
HIP 12961 b,114.4188,13.2,0.2536125,57.435,0.25,0.17,2.9441622,8.6680909,0.65667355,1.6124565,285.48886,322.54579056,0,0.049747996,3901.0,0.69,0.65,0.099311605
HD 11755 b,1789.3829,12.8,1.1096745,433.70001,1.09,0.19,11.823516,139.79554,10.921526,126.51179,848.4906,939.5956976,0,0.85324426,4312.0,0.72,20.58,147.57065
HD 29985 b,1739.4749,12.8,13.84607,20608.14,13.39,0.261,11.657464,135.89647,10.616912,0.00082368107,42.591788,56.330599648,0,0.82944625,4678.0,0.75,0.57,0.14256076
HD 115954 b,2685.65,12.6,5.5929225,3700.0,5.0,0.487,14.599549,213.14683,16.916415,0.13862636,147.90128,171.74980288000003,0,1.3425726,5957.0,1.18,1.21,3.0269134
HIP 97233 b,6098.1736,12.1,2.985339,1062.2651,2.491,0.63,22.449528,503.98129,41.651347,3.3193869,313.86461,353.64561256,0,3.44226,5020.0,1.81,5.34,15.99558
HD 95872 b,1188.6842,13.0,5.15927,4375.0,5.15,0.06,9.5622825,91.437246,7.0336343,0.021635587,97.633371,116.65617461600002,0,0.54104879,5312.0,0.7,0.84,0.57279603
OGLE-2015-BLG-0966L b,21.0,4.86,2.7,5535168.6067564925,2.7,1.2320095752805205e-06,2.0786985,4.3209877,0.88909211,5.691047323013683e-106,8.486557343386079e-30,9.65,0,0.18294076,6.1351494851524186e-24,0.38,1.5457460865399666,1.1667902095389292e-81
TOI-1470 b,7.32,2.18,0.0297825,2.527093,0.0285,0.3,1.8324296,3.3577982,1.5402744,48.505343,660.57708,746.01801,0,0.70654788,3709.0,0.47,0.47,0.03758374
V1298 Tau b,203.41018,10.27,0.17589804,24.1396,0.1688,0.29,4.4504212,19.806249,1.928554,35.021205,609.64599,677.82200504,0,0.1877852,5050.0,1.1,1.34,0.95499259
HD 22946 d,26.57,2.607,0.2958,47.42489,0.2958,4.07785036954075e-07,3.1924585,10.191791,3.9093944,18.492842,528.26352,588.62681792,0,1.4995759,6169.0,1.1,1.12,1.61808
WASP-70 A b,187.512,13.047,0.04853,3.7130203,0.04853,0.0,3.7910473,14.37204,1.1015589,616.56578,1269.3885,1400.8997960000002,0,0.084430056,5763.0,1.11,1.22,1.4521116
HAT-P-18 b,62.61,11.153,0.056097215,5.508023,0.0559,0.084,2.3693324,5.6137362,0.50333867,86.639115,776.16119,860.3226642400001,0,0.045130339,4803.0,0.77,0.75,0.26977394
